,sensor2.temperature,sensor2.gas,sensor2.humidity,sensor2.pressure,sensor2.altitude
1,1.9219049646543807,-0.8144899101764488,-1.9762142470494066,-1.8916157180511513,1.8915975075943676
2,1.911413126176232,-1.2601781518297046,-1.9615745517785463,-1.9316172005171992,1.9316308252263081
3,1.9079158466835158,1.9404836930375,-1.773273398841712,-1.9207827266075352,1.9207876251214397
4,-0.46813584066786307,1.3296224830154848,0.41621856609635316,0.5032287530693602,-0.5032438213872915
5,-0.47513039965329545,1.12751209977945,0.3854812799269407,0.5078188746036963,-0.5078303353319658
6,-0.48632169402998987,0.8236495925694117,0.4535156934192058,0.5079195064111311,-0.5079308878937719
7,-0.49331625301542226,0.5222263486053255,0.46844795750541257,0.5125095239005611,-0.5125172838107819
8,-0.5045075473921167,0.20233439720760163,0.44513953337190687,0.5190012863069448,-0.5190039006498854
9,-0.5156988417688111,-0.10501277178236836,0.47512123986185667,0.52336252964458,-0.5233616716750391
10,-0.5317863274353005,-0.43849490412182557,0.48205906793493,0.5271018128476584,-0.5270979678613747
11,-0.5485732690003357,-0.7991573983447495,0.5422709369002715,0.5304477508743555,-0.530441225339606
12,-0.5646607546668378,-1.0814150025192117,0.5949105796775647,0.5299259878815678,-0.5299198808309763
13,-0.5758520490435195,-1.3918983671111202,0.6858683019049239,0.5364171276658132,-0.5364058016932208
14,-0.5772509608406111,-0.055182108329346016,0.7620290410703079,0.5462824919656032,-0.5462631814681714
