sensor2.id,sensor2.carId,sensor2.carLocation,sensor2.timeValue,sensor2.temperature,sensor2.gas,sensor2.humidity,sensor2.pressure,sensor2.altitude
15,VP-35-44,41.5608 -8.3968,2020-11-20 14:30:59,23.7895703125,13287,45.05977962686685,1005.0084783285077,68.84336752746015
14,VP-35-44,41.5608 -8.3968,2020-11-20 14:22:31,23.7782421875,4933,45.62964846501589,1005.1183035722071,67.92297139671683
13,VP-35-44,41.5608 -8.3968,2020-11-20 14:22:20,23.7753125,3654,45.64147583159658,1005.0857774012941,68.19555016565269
12,VP-35-44,41.5608 -8.3968,2020-11-20 14:22:10,23.7743359375,12839,45.79360377703148,1005.0945871735428,68.12172100757282
11,VP-35-44,41.5608 -8.3968,2020-11-20 11:53:01,23.110859375,11086,47.5624878702903,1007.0656094162941,51.61698079028883
10,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:45,23.10890625,10506,47.53765530755625,1007.0693417549057,51.585752143783914
9,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:35,23.10578125,9634,47.592620109322056,1007.0694235810572,51.58506750171248
8,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:24,23.103828125,8769,47.604683841384755,1007.0731558350678,51.55383965883408
7,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:13,23.100703125,7851,47.585853034353306,1007.0784344437727,51.50967359573591
6,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:03,23.097578125,6969,47.610075166495406,1007.0819806759984,51.48000241354057
5,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:51,23.0930859375,6012,47.61568021730936,1007.0850211774264,51.45456272792135
4,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:41,23.0883984375,4977,47.66432520845057,1007.087741840397,51.43179916343163
3,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:30,23.08390625,4167,47.706852620414026,1007.0873175823137,51.43534889282604
2,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:18,23.08078125,3276,47.78033709561811,1007.0925956847495,51.39118756849364
1,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:07,23.080390625,7112,47.841867131899505,1007.1006174505831,51.32407066180376
